CountryCode,RegionName,RegionCode,Date,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
CHN,Anhui,CHN_AH,20200101,0,0,0,0
CHN,Anhui,CHN_AH,20200102,0,0,0,0
CHN,Anhui,CHN_AH,20200103,0,0,0,0
CHN,Anhui,CHN_AH,20200104,0,0,0,0
CHN,Anhui,CHN_AH,20200105,0,0,0,0
CHN,Anhui,CHN_AH,20200106,0,0,0,0
CHN,Anhui,CHN_AH,20200107,0,0,0,0
CHN,Anhui,CHN_AH,20200108,0,0,0,0
CHN,Anhui,CHN_AH,20200109,0,0,0,0
CHN,Anhui,CHN_AH,20200110,0,0,0,0
CHN,Anhui,CHN_AH,20200111,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200112,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200113,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200114,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200115,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200116,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200117,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200118,5.56,3.12,3.57,0
CHN,Anhui,CHN_AH,20200119,5.56,5.21,5.95,0
CHN,Anhui,CHN_AH,20200120,11.11,8.33,9.52,0
CHN,Anhui,CHN_AH,20200121,11.11,16.67,19.05,0
CHN,Anhui,CHN_AH,20200122,28.7,28.12,32.14,0
CHN,Anhui,CHN_AH,20200123,28.7,28.12,32.14,0
CHN,Anhui,CHN_AH,20200124,39.81,39.06,44.64,0
CHN,Anhui,CHN_AH,20200125,42.59,40.62,46.43,0
CHN,Anhui,CHN_AH,20200126,50,56.25,57.14,50
CHN,Anhui,CHN_AH,20200127,50,56.25,57.14,50
CHN,Anhui,CHN_AH,20200128,50,56.25,57.14,50
CHN,Anhui,CHN_AH,20200129,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200130,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200131,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200201,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200202,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200203,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200204,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200205,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200206,70.37,68.75,71.43,50
CHN,Anhui,CHN_AH,20200207,80.56,74.48,77.98,50
CHN,Anhui,CHN_AH,20200208,80.56,74.48,77.98,50
CHN,Anhui,CHN_AH,20200209,80.56,74.48,77.98,50
CHN,Anhui,CHN_AH,20200210,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200211,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200212,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200213,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200214,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200215,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200216,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200217,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200218,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200219,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200220,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200221,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200222,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200223,76.85,72.4,75.6,50
CHN,Anhui,CHN_AH,20200224,71.3,69.27,72.02,50
CHN,Anhui,CHN_AH,20200225,71.3,69.27,72.02,50
CHN,Anhui,CHN_AH,20200226,71.3,69.27,72.02,50
CHN,Anhui,CHN_AH,20200227,71.3,69.27,72.02,50
CHN,Anhui,CHN_AH,20200228,71.3,69.27,72.02,50
CHN,Anhui,CHN_AH,20200229,71.3,69.27,72.02,50
CHN,Anhui,CHN_AH,20200301,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200302,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200303,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200304,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200305,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200306,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200307,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200308,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200309,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200310,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200311,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200312,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200313,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200314,71.3,70.83,72.02,62.5
CHN,Anhui,CHN_AH,20200315,74.07,72.4,73.81,62.5
CHN,Anhui,CHN_AH,20200316,74.07,72.4,73.81,62.5
CHN,Anhui,CHN_AH,20200317,74.07,72.4,73.81,62.5
CHN,Anhui,CHN_AH,20200318,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200319,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200320,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200321,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200322,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200323,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200324,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200325,54.63,58.33,57.74,62.5
CHN,Anhui,CHN_AH,20200326,54.63,58.33,57.74,62.5
CHN,Anhui,CHN_AH,20200327,54.63,58.33,57.74,62.5
CHN,Anhui,CHN_AH,20200328,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200329,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200330,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200331,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200401,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200402,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200403,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200404,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200405,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200406,60.19,61.46,61.31,62.5
CHN,Anhui,CHN_AH,20200407,56.48,59.38,58.93,62.5
